tambahbrelet,,
B. Sc (Hons) in Fisheries Studies with Maritime Business,00275,2
B. Sc (Hons) in Fisheries Studies with Maritime History,00276,2
B. Sc (Hons) in Fisheries Studies with Maritime Law,00277,2
B. Sc (Hons) in Fisheries Studies with Ocean Science,00278,2
B. Sc (Hons) in Fisheries Studies with Transports,00279,2
B. Sc (Hons) in Fisheries Studies with Underwater Studies,00280,2
B. Sc (Hons) in Food Microbiology,00281,2
B. Sc (Hons) in Food Microbiology with European Studies,00282,2
B. Sc (Hons) in Food Science,00283,2
B. Sc (Hons) in Food Science with European Studies,00284,2
B. Sc (Hons) in Genetics,00285,2
B. Sc (Hons) in Geography and Mathematics,00286,2
B. Sc (Hons) in Geography and Statistics,00287,2
B. Sc (Hons) in Geography and Surveying and Mapping Science,00288,2
B. Sc (Hons) in Geography with Astronomy,00289,2
B. Sc (Hons) in Geography with Chemistry,00290,2
B. Sc (Hons) in Geography with Computing,00291,2
B. Sc (Hons) in Geography with Ecology,00292,2
B. Sc (Hons) in Geography with Economics (Applied),00293,2
B. Sc (Hons) in Geography with Environmental Biology,00294,2
B. Sc (Hons) in Geography with Geology,00295,2
B. Sc (Hons) in Geography with Languages,00296,2
B. Sc (Hons) in Geography with Law,00297,2
B. Sc (Hons) in Geography with Ocean Science,00298,2
B. Sc (Hons) in Geography with Politics,00299,2
B. Sc (Hons) in Geography with Social Policy,00300,2
B. Sc (Hons) in Geography with Sociology,00301,2
B. Sc (Hons) in Geography with Statistics,00302,2
B. Sc (Hons) in Geology (Environmental),00303,2
B. Sc (Hons) in Geology with Astronomy,00304,2
B. Sc (Hons) in Geology with Business,00305,2
B. Sc (Hons) in Geology with Chemistry,00306,2
B. Sc (Hons) in Geology with Computing,00307,2
B. Sc (Hons) in Geology with Ecology,00308,2
B. Sc (Hons) in Geology with Environmental Biology,00309,2
B. Sc (Hons) in Geology with Geography,00310,2
B. Sc (Hons) in Geology with Hydrography,00311,2
B. Sc (Hons) in Geology with Languages,00312,2
B. Sc (Hons) in Geology with Ocean Science,00313,2
B. Sc (Hons) in Geology with Resources Manufacturing and the Environment,00314,2
B. Sc (Hons) in Geology with Statistics,00315,2
B. Sc (Hons) in Horticulture,00316,2
B. Sc (Hons) in Horticulture with European Studies,00317,2
B. Sc (Hons) in Horticulture with Technology,00318,2
B. Sc (Hons) in Human Biology with Chemistry,00319,2
B. Sc (Hons) in Human Biology with Computing,00320,2
B. Sc (Hons) in Human Biology with Mathematics,00321,2
B. Sc (Hons) in Human Biology with Psychology,00322,2
B. Sc (Hons) in Human Biology with Sociology,00323,2
B. Sc (Hons) in Human Biology with Statistics,00324,2
B. Sc (Hons) in Human Biology-Health and Disease,00325,2
B. Sc (Hons) in Hydrography,00326,2
B. Sc (Hons) in Hydrography with Astronomy,00327,2
B. Sc (Hons) in Hydrography with Fisheries Science,00328,2
B. Sc (Hons) in Hydrography with Fisheries Technology,00329,2
B. Sc (Hons) in Hydrography with Marine Navigation,00330,2
B. Sc (Hons) in Hydrography with Marine Technology,00331,2
B. Sc (Hons) in Hydrography with Maritime Business,00332,2
B. Sc (Hons) in Hydrography with Maritime Law,00333,2
B. Sc (Hons) in Hydrography with Ocean Science,00334,2
B. Sc (Hons) in Hydrography with Underwater Studies,00335,2
B. Sc (Hons) in Hyrography with Fisheries Economics and Business Studies,00336,2
B. Sc (Hons) in Law with Business,00337,2
B. Sc (Hons) in Law with Computing,00338,2
B. Sc (Hons) in Law with Economics (Applied),00339,2
B. Sc (Hons) in Law with Geography,00340,2
B. Sc (Hons) in Law with Languages,00341,2
B. Sc (Hons) in Law with Politics,00342,2
B. Sc (Hons) in Law with Psychology,00343,2
"B. Sc (Hons) in Law with Resources, Manufacturing and the Environment",00344,2
B. Sc (Hons) in Law with Social Policy,00345,2
B. Sc (Hons) in Law with Sociology,00346,2
B. Sc (Hons) in Law with Transport,00347,2
B. Sc (Hons) in Marine Biology with Chemistry,00348,2
B. Sc (Hons) in Marine Biology with Computing,00349,2
B. Sc (Hons) in Marine Biology with Ecology,00350,2
B. Sc (Hons) in Marine Biology with Geology,00351,2
B. Sc (Hons) in Marine Biology with Mathematics,00352,2
B. Sc (Hons) in Marine Biology with Microbiology,00353,2
B. Sc (Hons) in Marine Biology with Ocean Science,00354,2
B. Sc (Hons) in Marine Biology with Statistics,00355,2
B. Sc (Hons) in Marine Navigation with Astronomy,00356,2
B. Sc (Hons) in Marine Navigation with Fisheries Economics and Business Studies  ,00357,2
B. Sc (Hons) in Marine Navigation with Fisheries Science,00358,2
B. Sc (Hons) in Marine Navigation with Fisheries Technology,00359,2
B. Sc (Hons) in Marine Navigation with Hydrography,00360,2
B. Sc (Hons) in Marine Navigation with Marine Technology,00361,2
B. Sc (Hons) in Marine Navigation with Maritime Business,00362,2
B. Sc (Hons) in Marine Navigation with Maritime History,00363,2
B. Sc (Hons) in Marine Navigation with Transport,00364,2
B. Sc (Hons) in Marine Navigation with Underwater Studies,00365,2
B. Sc (Hons) in Marine Technology,00366,2
B. Sc (Hons) in Marine Technology Fisheries Technology,00367,2
B. Sc (Hons) in Marine Technology Maritime Business,00368,2
B. Sc (Hons) in Marine Technology with Astronomy,00369,2
B. Sc (Hons) in Marine Technology with Fisheries Economics and Business Studies,00370,2
B. Sc (Hons) in Marine Technology with Fisheries Science,00371,2
B. Sc (Hons) in Marine Technology with Hydrography,00372,2
B. Sc (Hons) in Marine Technology with Marine Navigation  ,00373,2
B. Sc (Hons) in Marine Technology with Maritime Law,00374,2
B. Sc (Hons) in Marine Technology with Ocean Science,00375,2
B. Sc (Hons) in Marine Technology with Transport,00376,2
B. Sc (Hons) in Marine Technology with Underwater Studies,00377,2
B. Sc (Hons) in Maritime Business with Astronomy,00378,2
B. Sc (Hons) in Maritime Business with Fisheries Economics and Business Studies,00379,2
B. Sc (Hons) in Maritime Business with Fisheries Science,00380,2
