Bil.,NAMA IPT,"KATEGORI PPT
(IPTA/ IPTS)",,NEGARA,
,Asia Pacific University of Technology and Innovation,2,00150,,Both
,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY AND INNOVATION (ASIA PACIFIC UTI)/ ASIA PACIFIC UNIVERSITY COLLEGE OF TECHNOLOGY AND INNOVATION (ASIA PACIFIC UCTI),2,00151,,Both
,Asia School of Business (ASB),2,00152,,Both
,"ASIAN INSTITUTE OF MANAGEMENT, PHILIPPINES",2,00153,,Both
,"ASIAN INSTITUTE OF TECHNOLOGY, BANGKOK",2,00154,,Both
,ASKHAM BRYAN COLLEGE,2,00155,,Both
,ASSAM AGRICULTURAL UNIVERSITY HUSBANDRY,2,00156,,Both
,ASSIUT UNIVERSITY,2,00157,,Both
,ASSOCIATION OF INTERNATIONAL ACCOUNTANTS (AIA),2,00158,,Both
,"ASSUMPTION COLLEGE, WORCESTER, MASSACHUSETTS",2,00159,,Both
,"ATHENAEUM OF OHIO, CINCINNATI, OHIO",2,00160,,Both
,"ATHENS STATE COLLEGE, ATHENS, ALABAMA",2,00161,,Both
,"ATLANTA CHRISTIAN COLLEGE, EAST POINT, GEORGIA",2,00162,,Both
,"ATLANTA COLLEGE OF ART, ATLANTA, GEORGIA",2,00163,,Both
,"ATLANTA UNIVERSITY, ATLANTA, GEORGIA",2,00164,,Both
,"ATLANTIC CHRISTIAN COLLEGE, WILSON, NORTH CAROLINA",2,00165,,Both
,"ATLANTIC UNION COLLEGE, SOUTH LANCASTER, MASSACHUSETTS",2,00166,,Both
,"AUBURN UNIVERSITY, AUBURN, ALABAMA",2,00167,,Both
,"AUBURN UNIVERSITY, MONTGOMERY, ALABAMA",2,00168,,Both
,AUCKLAND UNIVERSITY OF TECHNOLOGY / AUCKLAND INSTITUTE OF TECHNOLOGY,2,00169,,Both
,"AUGSBURG COLLEGE, MINNEAPOLIS, MINNESOTA",2,00170,,Both
,"AUGUSTA COLLEGE, AUGUSTA, GEORGIA",2,00171,,Both
,"AUGUSTANA COLLEGE, ROCK ISLAND, ILLINOIS",2,00172,,Both
,"AUGUSTANA UNIVERSITY/ AUGUSTANA COLLEGE, SIOUX FALLS, SOUTH DAKOTA",2,00173,,Both
,"AURORA UNIVERSITY, AURORA, ILLINOIS",2,00174,,Both
,"AUSTIN COLLEGE, SHERMAN, TEXAS",2,00175,,Both
,"AUSTIN PEAY STATE UNIVERSITY, CLARKSVILLE, TENNESSEE",2,00176,,Both
,AUSTRALIAN CATHOLIC UNIVERSITY,2,00177,,Both
,AUSTRALIAN NATIONAL UNIVERSITY,2,00178,,Both
,"AUSTRALIAN NATIONAL UNIVERSITY MEDICAL SCHOOL, CANBERRA",2,00179,,Both
