Bil.,NAMA IPT,"KATEGORI PPT
(IPTA/ IPTS)",,NEGARA,
,"MOREHOUSE COLLEGE, ATLANTA, GEORGIA",2,01582,,Both
,"MORGAN STATE UNIVERSITY, BALTIMORE, MARYLAND",2,01583,,Both
,"MORNINGSIDE COLLEGE, SIOUX CITY, IOWA",2,01584,,Both
,"MORRIS BROWN COLLEGE, ATLANTA, GEORGIA",2,01585,,Both
,MOSCOW AVIATION INSTITUTE (MAI),2,01586,,Both
,MOUNT ALLISON UNIVERSITY,2,01587,,Both
,"MOUNT HOLYOKE COLLEGE, SOUTH HADLEY, MASSACHUSETTS",2,01588,,Both
,"MOUNT IDA COLLEGE, NEWTON CENTER, MASSACHUSETTS",2,01589,,Both
,"MOUNT MARTY COLLEGE, YANKTON, SOUTH DAKOTA",2,01590,,Both
,"MOUNT MARY COLLEGE, MILWAUKEE, WISCONSIN",2,01591,,Both
,"MOUNT MERCY UNIVERSITY/ MOUNT MERCY COLLEGE, CEDAR RAPIDS, IOWA",2,01592,,Both
,"MOUNT OLIVE COLLEGE, MT. OLIVE, NORTH CAROLINA",2,01593,,Both
,"MOUNT SENARIO COLLEGE, LADYSMITH, WISCONSIN",2,01594,,Both
,"MOUNT ST. CLAIRE COLLEGE, CLINTON, IOWA",2,01595,,Both
,"MOUNT ST. MARY COLLEGE, NEWBURGH, NEW YORK",2,01596,,Both
,"MOUNT ST. MARYS COLLEGE & SEMINARY, EMITSBURGH, MARYLAND",2,01597,,Both
,"MOUNT ST. VINCENT UNIVERSITY, HALIFAX",2,01598,,Both
,"MOUNT ST.MARYS COLLEGE, LOS ANGELES, CALIFORNIA",2,01599,,Both
,"MOUNT UNION COLLEGE, ALLIANCE, OHIO",2,01600,,Both
,"MT. SINAI SCHOOL OF MEDICINE, NEW YORK",2,01601,,Both
,"MT. VERNON NAZARENE COLLEGE, MT. VERNON, OHIO",2,01602,,Both
,"MT.VERNON COLLEGE, WASHINGTON D.C",2,01603,,Both
,"MUHLENBERD COLLLEGE, BETHLEHEM, PENNSYLVANIA",2,01604,,Both
,"MULTNOMAH SCHOOL OF THE BIBLE, PORTLAND, OREGON",2,01605,,Both
,"MUNDELEIN COLLEGE, CHICAGO, ILLINOIS",2,01606,,Both
,MURDOCH UNIVERSITY,2,01607,,Both
,MURORAN INSTITUTE OF TECHNOLOGY,2,01608,,Both
,"MURRAY STATE UNIVERSITY, MURRAY, KENTUCKY",2,01609,,Both
,MUSHASHI INSTITUTE OF TECHNOLOGY,2,01610,,Both
,"MUSKINGAM COLLEGE, NEW CONCORD, OHIO",2,01611,,Both
,MUTAH UNIVERSITY,2,01612,,Both
,N.I. PIROGOV RUSSIAN NATIONAL RESEARCH MEDICAL UNIVERSITY/ RUSSIAN STATE MEDICAL UNIVERSITY,2,01613,,Both
,NAGAOKA TECHNICAL COLLEGE/NAGAOKA NATIONAL COLLEGE OF TECHNOLOGY,2,01614,,Both
,NAGAOKA UNIVERSITY OF TECHNOLOGY,2,01615,,Both
,NAGASAKI UNIVERSITY,2,01616,,Both
,NAGOYA CITY UNIVERSITY,2,01617,,Both
,NAGOYA INSTITUTE OF TECHNOLOGY,2,01618,,Both
,NAGOYA UNIVERSITY,2,01619,,Both
,NAGPUR UNIVERSITY,2,01620,,Both
,NANJING UNIVERSITY OF CHINESE MEDICINE (NUCM),2,01621,,Both
,NAPIER UNIVERSITY,2,01622,,Both
,NARA NATIONAL COLLEGE OF TECHNOLOGY,2,01623,,Both
,NARA WOMENS UNIVERSITY,2,01624,,Both
,"NARPOA INSTITUTE, BOULDER, COLORADO",2,01625,,Both
,"NATIONAL - LOUIS UNIVERSITY, EVANSTON, ILLINOIS",2,01626,,Both
,"NATIONAL AMERICAN UNIVERSITY/ NATIONAL COLLEGE, RAPID CITY, SOUTH DAKOTA",2,01627,,Both
,"NATIONAL ARCHIVE OF INDIA (INST. FOR ARCHIVAL STUDIES), NEW DELHI",2,01628,,Both
,NATIONAL CHENG KUNG UNIVERSITY - MEDICAL COLLEGE,2,01629,,Both
,NATIONAL CHUNG HSING UNIVERSITY,2,01630,,Both
,NATIONAL DEFENCE MEDICAL COLLEGE,2,01631,,Both
,NATIONAL DEFENSE ACADEMY,2,01632,,Both
,NATIONAL INST. OF FITNESS & SPORTS IN KANOYA,2,01633,,Both
,"NATIONAL INSTITUTE OF TECHNOLOGY, NAGANO COLLEGE/ NAGANO NATIONAL COLLEGE OF TECHNOLOGY",2,01634,,Both
,NATIONAL TAIWAN UNIVERSITY,2,01635,,Both
,NATIONAL UNIVERSITY OF IRELAND,2,01636,SINGAPORE,Both
,NATIONAL UNIVERSITY OF SINGAPORE/UNIVERSITY OF SINGAPORE,2,01637,,Both
,"NATIONAL UNIVERSITY, SAN DIEGO, CALIFORNIA",2,01638,,Both
,"NAVAL POST-GRADUATE SCHOOL, MONTEREY, CALIFORNIA",2,01639,,Both
,"NAZARETH COLLEGE OF ROCHESTER, NEW YORK",2,01640,,Both
,"NAZARETH COLLEGE, KALAMAZOO, MICHIGAN",2,01641,,Both
,"NEBRASKA CHRISTIAN COLLEGE, SYRACUSE, NEBRASKA",2,01642,,Both
,"NEBRASKA METHODIST COLLEGE OF NURSING, NEBRASKA",2,01643,,Both
,"NEBRASKA WESLEYAN UNIVERSITY, LINCOLN",2,01644,,Both
,NELSON POLYTECHNIC/NELSON MARLBOROUGH INSTITUTE OF TECHNOLOGY,2,01645,,Both
,NESCOT,2,01646,,Both
,NETHERLANDS MARITIME INSTITUTE OF TECHNOLOGY (NMIT),2,01647,,Both
,"NEUMAN COLLLEGE, ASTON, PENNSYLVANIA",2,01648,,Both
,NEW COLLEGE DURHAM,2,01649,,Both
,"NEW COLLEGE OF CALIFORNIA. SAN FRANCISCO, CALIFORNIA",2,01650,,Both
,"NEW ENGLAND COLLEGE, HENNIKER, NEW HAMPSHIRE",2,01651,,Both
,"NEW ENGLAND CONSERVATORY OF MUSIC, BOSTON, MASSACHUSETTS",2,01652,,Both
,"NEW JERSEY COLLEGE OF MEDICINE AND DENTISTRY, JERSEY CITY",2,01653,,Both
,"NEW JERSEY INSTITUTE OF TECHNOLOGY, NEWARK, NEW JERSEY",2,01654,,Both
,"NEW MEXICO HIGHLANDS UNIVERSITY, LAS VEGAS, NEW MEXICO",2,01655,,Both
,"NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY, SOCORRO, NEW MEXICO",2,01656,,Both
,"NEW MEXICO STATE UNIVERSITY, LAS CRUCES, NEW MEXICO",2,01657,,Both
,"NEW SCHOOL FOR SOCIAL RESEARCH, NEW YORK",2,01658,,Both
,"NEW SOUTH WALES INSTITUTE OF TECHNOLOGY, SYDNEY",2,01659,,Both
,"NEW YORK INSTITUTE OF TECHNOLOGY, OLD WESTBURY, NEW YORK",2,01660,,Both
,"NEW YORK MEDICAL COLLEGE, NEW YORK",2,01661,,Both
,"NEW YORK SCHOOL OF INTERIOR DESIGN, NEW YORK",2,01662,UNITED STATES,Both
,"NEW YORK STATE AT BUFFALO STATE UNIVERSITY, BUFFALO, NEW YORK",2,01663,,Both
,NEW YORK STATE UNIVERSITY,2,01664,,Both
,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE, NEW YORK",2,01665,,Both
,"NEW YORK UNIVERSITY, NEW YORK",2,01666,,Both
,NEW ZEALAND INST.OF VALUERS,2,01667,,Both
,"NEW ZEALAND LIBRARY SCHOOL NATIONAL LIBRARY OF NEW ZEALAND, WELLINGTON",2,01668,,Both
,"NEWBERRY COLLEGE, NEWBERRY, SOUTH CAROLINA",2,01669,,Both
,Newcastle University Medicine Malaysia,2,01670,,Both
,NEWMAN&WESTHILL COLLEGE,2,01671,,Both
,"NIAGARA UNIVERSITY, NIAGARA, NEW YORK",2,01672,,Both
,"NICHOLS COLLEGE, DUDLEY, MASSACHUSETTS",2,01673,,Both
,"NICOLLS STATE UNIVERSITY, THIBODAUX, LOUISIANA",2,01674,,Both
,NIIGATA UNIVERSITY,2,01675,,Both
,NIIHAMA TECHNICAL COLLEGE/NIIHAMA NATIONAL COLLEGE OF TECHNOLOGY,2,01676,,Both
,NORFOLK INSTITUTE OF ART & DESIGN,2,01677,,Both
,"NORFOLK STATE UNIVERSITY, NORFOLK, VIRGINIA",2,01678,,Both
,"NORTH CAROLINA A&T STATE UNIVERSITY, GREENSBORO, NORTH CAROLINA",2,01679,,Both
,"NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY, GREENSBORO, NORTH CAROLINA",2,01680,,Both
,"NORTH CAROLINA CENTRAL UNIVERSITY, DURHAM",2,01681,,Both
,"NORTH CAROLINA CENTRAL UNIVERSITY, FAYETTEVILLE, NORTH CAROLINA",2,01682,,Both
,"NORTH CAROLINA SCHOOL OF ARTS, WINSTON-SALEM, NORTH CAROLINA",2,01683,,Both
,"NORTH CAROLINA STATE UNIVERSITY, RALEIGH, NORTH CAROLINA",2,01684,,Both
,"NORTH CAROLINA WESLEYAN COLLEGE, ROCKY MOUNT, NORTH CAROLINA",2,01685,,Both
,NORTH CHESHIRE COLLEGE,2,01686,,Both
,"NORTH DAKOTA STATE UNIVERSITY, FARGO, NORTH DAKOTA",2,01687,,Both
,NORTH EAST LONDON POLYTECHNIC,2,01688,,Both
,NORTH EAST SURREY COLLEGE OF TECHNOLOGY,2,01689,,Both
,"NORTH GEORGIA COLLEGE, DAHLONEGA",2,01690,,Both
,NORTH LONDON POLYTECHNIC,2,01691,,Both
,"NORTH PARK COLLEGE & THEOLOGICAL SEMINARY, CHICAGO, ILLINOIS",2,01692,,Both
,NORTH RIDING COLLEGE,2,01693,,Both
,NORTHEAST LOUISIANA UNIVERSITY,2,01694,,Both
,"NORTHEAST MISSOURI STATE COLLEGE, KIRKSVILLE, MISSOURI",2,01695,,Both
,"NORTHEASTERN ILLINOIS STATE UNIVERSITY, CHICAGO, ILLINOIS",2,01696,,Both
,NORTHEASTERN STATE UNIVERSITY,2,01697,,Both
,"NORTHEASTERN STATE UNIVERSITY/ NORTHEASTERN STATE COLLEGE, TAHLEQUAH, OKLAHOMA",2,01698,,Both
,"NORTHEASTERN UNIVERSITY, BOSTON, MASSACHUSETTS",2,01699,,Both
,"NORTHERN ARIZONA UNIVERSITY, FLAGSTAFF, ARIZONA",2,01700,,Both
,"NORTHERN ILLINOIS UNIVERSITY, DE KALB, ILLINOIS",2,01701,,Both
,NORTHERN KENTUCKY UNIVERSITY,2,01702,,Both
,"NORTHERN MICHIGAN UNIVERSITY, MARQUETTE, MICHIGAN",2,01703,,Both
,"NORTHERN STATE UNIVERSITY/ NORTHERN STATE COLLEGE, ABERDEEN, SOUTH DAKOTA",2,01704,,Both
,NORTHERN TERRITORY UNIVERSITY (Formerly known as Charles Darwin University),2,01705,,Both
,"NORTHLAND COLLEGE, ASHLAND, WISCONSIN",2,01706,,Both
,"NORTHROP UNIVERSITY, INGLEWOOD, CALIFORNIA",2,01707,,Both
,"NORTHWEST CHRISTIAN COLLEGE, LA GRANDE, OREGON",2,01708,,Both
,"NORTHWEST NAZARENE COLLEGE, NAMPA, IDAHO",2,01709,,Both
,"NORTHWESTERN COLLEGE ORANGE CITY, IOWA",2,01710,,Both
,"NORTHWESTERN COLLEGE, WATERTOWN, WISCONSIN",2,01711,,Both
,"NORTHWESTERN OKLAHOMA STATE UNIVERSITY, ALVA, OKLAHOMA",2,01712,,Both
,"NORTHWESTERN STATE UNIVERSITY OF LOUISIANA, NATCHITOCHES, LOUISIANA",2,01713,,Both
,"NORTHWESTERN UNIVERSITY MEDICAL SCHOOL, CHICAGO",2,01714,,Both
,"NORTHWESTERN UNIVERSITY, DENTAL SCHOOL, CHICAGO",2,01715,,Both
,"NORTHWESTERN UNIVERSITY, EVANSTON, ILLINOIS",2,01716,,Both
,"NORTHWOOD UNIVERSITY, MIDLAND, MICHIGAN",2,01717,,Both
,"NORWEST MISSOURI STATE UNIVERSITY, MARYVILLE, MISSOURI",2,01718,,Both
,NORWICH SCHOOL OF ART,2,01719,,Both
,"NORWICH UNIVERSITY, NORTHFIELD, UTAH",2,01720,,Both
,"NOTRE DAME COLLEGE, CLEVELAND, OHIO",2,01721,,Both
,"NOTRE DAME COLLEGE, MANCHESTER, NEW HAMPSHIRE",2,01722,,Both
,"NOTRE DAME OF MARYLAND, BALTIMORE, MARYLAND",2,01723,,Both
,NOVA SCOTIA TECHNICAL UNIVERSITY,2,01724,,Both
,"NOVA UNIVERSITY/ NOVA SOUTHEASTERN UNIVERSITY, FORT LOUNDERDALE, FLORIDA",2,01725,,Both
,NUMAZU COLLEGE OF TECHNOLOGY,2,01726,,Both
,"NYACK COLLEGE, NYACK, NEW YORK",2,01727,,Both
,"O MORE SCHOOL OF DESIGN, FRANKLIN, TENNESSEE",2,01728,,Both
,"OAKLAND CITY COLLEGE, OAKLAND CITY, INDIANA",2,01729,,Both
,"OAKLAND UNIVERSITY, ROCHESTER, MICHIGAN",2,01730,,Both
,"OAKWOOD COLLEGE, HUNTSVILLE, ALABAMA",2,01731,,Both
,"OBERLIN COLLEGE, OBERLIN, OHIO",2,01732,,Both
,OBIHIRO UNIVESITY OF AGRICULTURE & VETERINARY MEDICINE,2,01733,,Both
,"OBLATE COLLEGE, WASHINGTON D.C.",2,01734,,Both
,"OCCIDENTAL COLLEGE, LOS ANGELES, CALIFORNIA",2,01735,,Both
,OCEAN INSTITUTE OF AUDIO TECHNOLOGY,2,01736,,Both
,OCHANOMIZU UNIVERSITY,2,01737,,Both
,"OGLALA SIOUX COMMUNITY COLLEGE, KYLE, SOUTH DAKOTA",2,01738,,Both
,"OGLETHROPE UNIVERSITY, ATLANTA, GEORGIA",2,01739,,Both
,"OHIO DOMINICAN COLLEGE, COLUMBUS, OHIO",2,01740,,Both
,"OHIO NORTHERN UNIVERSITY, ADA, OHIO",2,01741,,Both
,OHIO STATE UNIVERSITY,2,01742,UNITED STATES,Both
,"OHIO STATE UNIVERSITY, COLUMBUS, OHIO",2,01743,,Both
,"OHIO UNIVERSITY, ATHENS, OHIO",2,01744,,Both
,"OHIO VALLEY COLLEGE, PARKERSBURG, WEST VIRGINIA",2,01745,,Both
,"OHIO WESLEYAN UNIVERSITY, DELAWARE, OHIO",2,01746,,Both
,OITA NATIONAL COLLEGE OF TECHNOLOGY,2,01747,,Both
,OITA UNIVERSITY,2,01748,,Both
,OKAYAMA UNIVERSITY,2,01749,,Both
,OKAYAMA UNIVERSITY OF SCIENCE,2,01750,,Both
,"OKLA.CHRISTIAN COLLEGE, OKLAHOMA CITY, OKLAHOMA",2,01751,,Both
,"OKLAHOMA BAPTIST UNIVERSITY, SHAWNEE, OKLAHOMA",2,01752,,Both
,"OKLAHOMA CITY UNIVERSITY, OKLAHOMA CITY, OKLAHOMA",2,01753,,Both
,"OKLAHOMA PANHANDLE STATE UNIVERSITY, GOODWELL, OKLAHOMA",2,01754,,Both
,"OKLAHOMA STATE UNIVERSITY, STILLWATER, OKLAHOMA",2,01755,,Both
,"OLD DOMINION UNIVERSITY, NORFOLK, VIRGINIA",2,01756,,Both
,"OLIVET COLLEGE, OLIVET, MICHIGAN",2,01757,,Both
,"OLIVET NAZARENE COLLEGE, KANKAKEE, ILLINOIS",2,01758,,Both
,"O'MORE COLLEGE OF DESIGN/ O'MORE SCHOOL OF DESIGN, FRANKLIN, TENNESSEE",2,01759,,Both
,"ONTARIO VETERINARY COLLEGE, UNIVERSITY OF GUELPH",2,01760,,Both
,"ORAL ROBERTS UNIVERSITY, TULSA, OKLAHOMA",2,01761,,Both
,"OREGON HEALTH SCIENCE UNIVERSITY, PORTLAND, OREGON",2,01762,,Both
,"OREGON INSTITUTE OF TECHNOLOGY, KLAMATH, OREGON",2,01763,,Both
,"OREGON STATE UNIVERSITY, CORVALLIS, OREGON",2,01764,,Both
,ORISSA COLLEGE OF VETERINARY SCIENCE AND ANIMAL HUSBANDRY (UTKAL UNIVERSITY),2,01765,,Both
,"ORLANDO COLLEGE, ORLANDO, FLORIDA",2,01766,,Both
,OSAKA UNIVERSITY,2,01767,,Both
,OSAKA UNIVERSITY OF FOREIGN STUDIES,2,01768,,Both
,OSHIMA NATIONAL COLLEGE OF MERCHANTILE/OSHIMA NATIONAL COLLEGE OF MARITIME TECHNOLOGY,2,01769,,Both
,"OSMANIA UNIVERISTY - GHANDI MEDICAL COLLEGE, HYDERABAD",2,01770,,Both
,"OSMANIA UNIVERSITY - OSMANIA MEDICAL COLLEGE, HYDERABAD",2,01771,,Both
,OTAGO POLYTECHNIC,2,01772,,Both
,OTARU UNIVERSITY OF COMMERCE,2,01773,,Both
,"OTIS ARTS INSTITUTE OF PARSONS, SCHOOL OF DESIGN, LOS ANGELES, CALIFORNIA",2,01774,,Both
,"OTTAWA UNIVERSITY, OTTAWA, KANSAS",2,01775,,Both
,"OTTERBEIN COLLEGE, WESTERVILLE, OHIO",2,01776,,Both
,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA, ARIZONA",2,01777,,Both
,"OUR LADY OF THE LAKE UNIVERSITY, SAN ANTONIO, TEXAS",2,01778,,Both
,OXFORD BROOKES UNIVERSITY (OXFORD POLYTECHNIC),2,01779,,Both
,"OXFORD DENTAL COLLEGE, BANDALORE",2,01780,,Both
,"OXFORD UNIVERSITY, OXFORD",2,01781,,Both
,OYAMA NATIONAL COLLEGE OF TECHNOLOGY,2,01782,,Both
,"OZARKS CHRISTIAN COLLEGE, ST. JOPLIN, MISSOURI",2,01783,,Both
,"PACE UNIVERSITY, NEW YORK",2,01784,,Both
,"PACE UNIVERSITY, PLEASANTVILLE, NEW YORK",2,01785,,Both
,"PACIFIC CHRISTIAN COLLEGE, FULLERTON, CALIFORNIA",2,01786,,Both
,"PACIFIC LUTHERAN UNIVERSITY, TACOMA, WASHINGTON",2,01787,,Both
,"PACIFIC OAKS COLLEGE, PASADENA, CALIFORNIA",2,01788,,Both
,"PACIFIC UNION COLLEGE, ANGWIN, CALIFORNIA",2,01789,,Both
,"PACIFIC UNIVERSITY, FOREST GROVE, OREGON",2,01790,,Both
,"PAINE COLLEGE, AUGUSTA, GEORGIA",2,01791,,Both
,PAISLEY COLLEGE OF TECHNOLOGY,2,01792,,Both
,PAISLEY UNIVERSITY,2,01793,,Both
,"PAKISTAN LIAQUAT MEDICAL COLLEGE, HYDERABAD, TEACHING DENTAL SECTION",2,01794,,Both
,"PALM BEACH ATLANTIC COLLEGE, LAKE WORTH, FLORIDA",2,01795,,Both
,"PARK COLLEGE OF ST. LOUIS UNIVERSITY, CAHOKIA, ILLINOIS",2,01796,,Both
,"PARK COLLEGE, PARKVILLE, MISSOURI",2,01797,,Both
,"PATTEN COLLEGE, OAKLAND, CALIFORNIA",2,01798,,Both
,"PAUL QUINN COLLEGE, TEXAS",2,01799,,Both
,PEKING UNIVERSITY (PKU),2,01800,,Both
,"PEMBROKE STATE UNIVERSITY, NORTH CAROLINA",2,01801,,Both
,PENANG MEDICAL COLLEGE (PMC)/KOLEJ PERUBATAN PULAU PINANG,2,01802,,Both
,"PENINSULA MEDICAL SCHOOL, UNIVERSITY OF EXETER & UNIVERSITY OF PLYMOUTH",2,01803,,Both
,"PENNSYLVANIA COLLEGE OF OPTOMETRY, PHILADELPHIA",2,01804,,Both
,PENNSYLVANIA STATE UNIVERSITY,2,01805,,Both
,"PEPPERDINE UNIVERSITY, MALIBU, CALIFORNIA",2,01806,,Both
,Perdana University,2,01807,,Both
,"PERELMAN SCHOOL OF MEDICINE AT THE UNIVERSITY OF PENNSYLVANIA/ UNIVERSITY OF PENNSYLVANIA SCHOOL OF MEDICINE, PHILADELPHIA",2,01808,,Both
,"PERU STATE COLLEGE, PERU, NEBRASKA",2,01809,,Both
,"PFEIFFER COLLEGE, MISENHEIMER, NORTH CAROLINA",2,01810,,Both
,"PHILADELPHIA COLLEGE OF BIBLE, LANGHORNE, PENNSYLVANIA",2,01811,,Both
,"PHILADELPHIA COLLEGE OF PHARMACY & SCIENCE, PHILADELPHIA, PENNSYLVANIA",2,01812,,Both
,"PHILADELPHIA COLLEGE OF TEXTILE & SCIENCE, PHILADELPHIA, PENNSYLVANIA",2,01813,,Both
,"PHILANDER SMITH COLLEGE, LITTLE ROCK, ARKANSAS",2,01814,,Both
,"PHILLIPS UNIVERSITY, ENID, OKLAHOMA",2,01815,,Both
,"PIEDMONT BIBLE COLLEGE, WINSTON-SALEM, NORTH CAROLINA",2,01816,,Both
,"PIEDMONT COLLEGE, DEMOREST, GEORGIA",2,01817,,Both
,"PIKEVILLE COL.LEGE, PIKEVILLE, KENTUCKY",2,01818,,Both
,"PINE MANOR COLLEGE, CHESTNUT CENTER, MASSACHUSETTS",2,01819,,Both
,"PITTSBURG STATE UNIVERSITY, PITTSBURG, KANSAS",2,01820,,Both
,"PITZER COLLEGE, CLAREMONT, CALIFORNIA",2,01821,,Both
,PJ COLLEGE OF ART AND DESIGN,2,01822,,Both
,"PLYMOUTH STATE COLLEGE, PLYMOUTH, NEW HAMPSHIRE",2,01823,,Both
,"POINT LOMA NAZARENE COLLEGE, SAN DIEGO, CALIFORNIA",2,01824,,Both
,"POINT PARK UNIVERSITY/ POINT PARK COLLEGE, PITTSBURGH, PENNSYLVANIA",2,01825,,Both
,"POLYTECHNIC UNIVERSITY - LONG ISLAND CENTER, FARMINGDALE",2,01826,,Both
,"POLYTECHNIC UNIVERSITY, BROOKLYN, NEW YORK",2,01827,,Both
,"POMONA COLLEGE, CLAREMONT, CALIFORNIA",2,01828,,Both
,"PONTIFICAL COLLEGE, JOSEPHINUM, COLUMBUS, OHIO",2,01829,,Both
,"PORTLAND SCHOOL OF ART, PORTLAND, MAINE",2,01830,,Both
,"PORTLAND STATE UNIVERSITY, PORTLAND, OREGON",2,01831,,Both
,"PRAIRIE VIEW A&M UNIVERSITY/ PRAIRIE VIEW AGRICULTURAL AND MECHANICAL UNIVERSITY, PRAIRIE VIEW, TEXAS",2,01832,,Both
,"PRATT INSTITUTE GRADUATE SCHOOL OF LIBRARY AND INFORMATION SCIENCE, PITTSBURGH, PENNSYLVANIA",2,01833,,Both
,"PRATT INSTITUTE, BROOKLYN, NEW YORK",2,01834,,Both
,"PRESBYTERIAN COLLEGE, CLINTON, SOUTH CAROLINA",2,01835,,Both
,"PRESCOTT COLLEGE, PRESCOTT, ARIZONA",2,01836,,Both
,"PRESENTATION COLLEGE, ABERDEEN, SOUTH DAKOTA",2,01837,,Both
,PRESTON POLYTECHNIC,2,01838,,Both
,PRIME COLLEGE,2,01839,,Both
,"PRINCETON UNIVERSITY, PRINCETON, NEW JERSEY",2,01840,,Both
,"PRINCIPIA COLLEGE, ELSAH, ILLINOIS",2,01841,,Both
,PRIVOLZHSKY RESEARCH MEDICAL UNIVERSITY/ NIZHNY NOVGOROD STATE MEDICAL ACADEMY,2,01842,,Both
,"PROVIDENCE COLLEGE, PROVIDENCE, RHODE ISLAND",2,01843,,Both
,"PUERTO RICO UNIVERSITY, SAN JUAN, PUERTO RICO",2,01844,,Both
,"PUGET SOUND CHRISTIAN COLLEGE, EDMONDS, WASHINGTON",2,01845,,Both
,"PUNJAB UNIVERSITY, LAHORE / UNIVERSITY OF THE PUNJAB ALLAMA IQBAL CAMPUS",2,01846,,Both
,"PUNJABI UNIVERSITY, PATIALA/BABA FARID UNIVERSITY OF HEALTH SCIENCES, FARID KOT",2,01847,,Both
,PURDUE UNIVERSITY MONTANA,2,01848,,Both
,"PURDUE UNIVERSITY, CALUMENT, HAMMOND, INDIANA",2,01849,,Both
,"PURDUE UNIVERSITY, WEST LAFAYETTE, INDIANA",2,01850,,Both
,PUSAT LATIHAN PENGAJAR DAN KEMAHIRAN LANJUTAN (CIAST),2,01851,,Both
,PUSAT PEMBANGUNAN KEMAHIRAN PULAU PINANG (PSDC),2,01852,,Both
,Putra Business School (PBS),2,01853,,Both
,"QUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",2,01854,,Both
,QUEEN MARY AND WESTFIELD COLLEGE (University of London),2,01855,,Both
,"QUEENS COLLEGE FLUSHING, NEW YORK",2,01856,,Both
,"QUEENS COLLEGE, CHARLOTTE, NORTH CAROLINA",2,01857,,Both
,"QUEENS COLLEGE, CITY UNIVERSITY OF NEW YORK, FLUSHING, NEW YORK",2,01858,,Both
,QUEENS ELIZABETH COLLEGE,2,01859,,Both
,"QUEENS UNIVERSITY, KINGSTON",2,01860,,Both
,QUEENSLAND UNIVERSITY OF TECHNOLOGY,2,01861,,Both
,QUEENSLAND UNIVERSITY OF TECHNOLOGY - CAMPUS BRISBANE,2,01862,,Both
,Quest International University (QIU),2,01863,,Both
,QUEST INTERNATIONAL UNIVERSITY PERAK/ PREMIER INTERNATIONAL UNIVERSITY PERAK (PIUP),2,01864,,Both
,"QUINCY COLLEGE, QUINCY, ILLINOIS",2,01865,,Both
,"QUINNIPIAC COLLEGE, HAMDEN, CONNECTICUT",2,01866,,Both
,"RADFORD UNIVERSITY, RADFORD, VIRGINIA",2,01867,,Both
,"RADFORD UNIVERSITY/ RADFORD COLLEGE, RADFORD, VIRGINIA",2,01868,,Both
,Raffles University (RU),2,01869,,Both
,RAFFLES UNIVERSITY ISKANDAR (RUI),2,01870,,Both
,"RAGAS DENTAL COLLEGE, DR. M.G.R TAMIL NADU UNIVERSITY",2,01871,,Both
,"RAJENDRA AGRICULTURAL UNIVERSITY, BIHAR (BIHAR VETERINARY COLLEGE)",2,01872,,Both
,"RAJIV GHANDI UNIVERSITY OF HEALTH SCIENCE, BANGALORE, KARNATAKA-JAGADGURU JAYADEVA MURUGARAJENDRA (J.",2,01873,,Both
,"RAJIV GHANDI UNIVERSITY OF HEALTH SCIENCE, BANGLORE, KARNATAKA-SRI DEVARAJ URS MEDICAL COLLEGE, KOLAR, KARNATAKA",2,01874,,Both
,"RAMAPO COLLEGE OF NEW JERSEY, MAHWAH, NEW JERSEY",2,01875,,Both
,Ranaco Education and Training Institute (RETI),2,01876,,Both
,"RANACO EDUCATION AND TRAINING INSTITUTE (RETI), TERENGGANU",2,01877,,Both
,"RANDOLPH COLLEGE/ RANDOLPH-MACON WOMAN'S COLLEGE, LYNCHBURG, VIRGINIA",2,01878,,Both
,"RANDOLPH-MACON COLLEGE, ASHLAND, VIRGINIA",2,01879,,Both
,RAVENSBOURNE COLLEGE OF ART,2,01880,,Both
,"REED COLLEGE, PORTLAND, OREGON",2,01881,,Both
,REGENT SCHOOL OF ECONOMICS,2,01882,,Both
,"REGIS COLLEGE, DENVER, COLORADO",2,01883,,Both
,"REGIS COLLEGE, WESTON, MASSACHUSETTS",2,01884,,Both
,REITAKU UNIVERSITY,2,01885,,Both
,"RENSSELAER POLYTECHNIC INSTITUTE, TROY, NEW YORK",2,01886,,Both
,"RESEARCH COLLEGE OF NURSING, KANSAS CITY, MISSOURI",2,01887,,Both
,"RHODE ISLAND COLLEGE, PROVIDENCE, RHODE ISLAND",2,01888,,Both
,"RHODE ISLAND SCHOOL OF DESIGN, PROVIDENCE, RHODE ISLAND",2,01889,,Both
,"RHODES COLLEGE, MEMPHIS, TENNESSEE",2,01890,,Both
,"RICE UNIVERSITY, HOUSTON,TEXAS",2,01891,,Both
,"RIDER COLLEGE, LAWRENCEVILLE, NEW JERSEY",2,01892,,Both
,RIDLEY COLLEGE - UNIVERSITY OF MELBOURNE,2,01893,,Both
,"RINGLING SCHOOL OF ARTS & DESIGN, SARASOTA, FLORIDA",2,01894,,Both
,"RIPON COLLEGE, RIPON, WISCONSIN",2,01895,,Both
,RITSUMEIKAN ASIA PACIFIC UNIVERSITY (APU),2,01896,,Both
,RITSUMEIKAN UNIVERSITY,2,01897,,Both
,"RIVIER COLLEGE, NASHUA, NEW HAMPSHIRE",2,01898,,Both
,"ROANOKE BIBLE COLLEGE, ELIZABETH CITY, NORTH CAROLINA",2,01899,,Both
