KOD IPT,KOD  PROGRAM (5 digit),KOD PERINGKAT Kelulusan,Kod Kategori
00122,08610,4,2
00122,08660,4,2
00122,08741,4,2
00122,08899,4,2
00122,08900,4,2
00122,09224,4,2
00122,11076,4,2
00122,11077,4,2
00122,11079,4,2
00122,11080,4,2
00122,11090,4,2
00122,11091,4,2
00122,11092,4,2
00122,11093,4,2
00122,11094,4,2
00122,11095,4,2
00122,11106,4,2
00122,11107,4,2
00122,11108,4,2
00122,11112,4,2
00122,11113,4,2
00122,11114,4,2
00122,11115,4,2
00122,11116,4,2
00122,11118,4,2
00122,11119,4,2
00122,11120,4,2
00122,11123,4,2
00122,11128,4,2
00122,11129,4,2
00122,11130,4,2
00122,11133,4,2
00122,11134,4,2
00122,11139,4,2
00122,11140,4,2
00122,11141,4,2
00122,11144,4,2
00122,11145,4,2
00122,11146,4,2
00122,11151,4,2
00122,11152,4,2
00122,11750,4,2
00122,11751,4,2
00122,11752,4,2
00122,11753,4,2
00122,11754,4,2
00122,11755,4,2
00122,11756,4,2
00122,11757,4,2
00122,11758,4,2
00122,11759,4,2
00122,11839,4,2
00122,11849,4,2
00122,11850,4,2
00122,11851,4,2
00122,11852,4,2
00122,11853,4,2
00122,11854,4,2
00122,11855,4,2
00122,11856,4,2
00122,11857,4,2
00122,11858,4,2
00122,11859,4,2
00122,11860,4,2
00122,11861,4,2
00122,11862,4,2
00122,11863,4,2
00122,11864,4,2
00122,11865,4,2
00122,11866,4,2
00122,11914,4,2
00122,11916,4,2
00122,11917,4,2
00122,11919,4,2
00122,11924,4,2
00122,11926,4,2
00122,11927,4,2
00122,11928,4,2
00122,11930,4,2
00122,11931,4,2
00122,11933,4,2
00122,11935,4,2
00122,11937,4,2
00122,11938,4,2
00122,11940,4,2
00122,11959,4,2
00122,11960,4,2
00122,11961,4,2
00122,11962,4,2
00122,11963,4,2
00122,11964,4,2
00122,11965,4,2
00122,11966,4,2
00122,11967,4,2
00122,11968,4,2
00122,11969,4,2
00122,11970,4,2
00122,11971,4,2
00122,12010,4,2
00122,12011,4,2
00122,12012,4,2
00122,12014,4,2
00122,12018,4,2
00122,12019,4,2
00122,12020,4,2
00122,12137,4,2
00122,12139,4,2
00122,12145,4,2
00122,12147,4,2
00122,12148,4,2
00122,12149,4,2
00122,12150,4,2
00122,12152,4,2
00122,12155,4,2
00122,12159,4,2
00122,12163,4,2
00122,12165,4,2
00122,12166,4,2
00122,12229,4,2
00122,12237,4,2
00122,12238,4,2
00122,12239,4,2
00122,12240,4,2
00122,12241,4,2
00122,12242,4,2
00122,12243,4,2
00122,12244,4,2
00122,12245,4,2
00122,12274,4,2
00122,12278,4,2
00122,12279,4,2
00122,12280,4,2
00122,12281,4,2
00122,12282,4,2
00122,12285,4,2
00122,12287,4,2
00122,12288,4,2
00122,12290,4,2
00122,12291,4,2
00122,12397,4,2
00122,12398,4,2
00122,12399,4,2
00122,12441,4,2
00122,12442,4,2
00122,12443,4,2
00122,12444,4,2
00122,12445,4,2
00122,12446,4,2
00122,12447,4,2
00122,12448,4,2
00122,12449,4,2
00122,12450,4,2
00122,12451,4,2
00122,12452,4,2
00122,12643,4,2
00122,12675,4,2
00122,12684,4,2
00122,12691,4,2
00122,12693,4,2
00122,12694,4,2
00122,12727,4,2
00122,12728,4,2
00122,12729,4,2
00122,12731,4,2
00122,12732,4,2
00122,12748,4,2
00122,12750,4,2
00122,12751,4,2
00122,12752,4,2
00122,12754,4,2
00122,12755,4,2
00122,12756,4,2
00122,12802,4,2
00122,12804,4,2
00122,12814,4,2
00122,12876,4,2
00122,12877,4,2
00122,12878,4,2
00122,12879,4,2
00122,12900,4,2
00122,12901,4,2
00122,12902,4,2
00122,12903,4,2
00122,12904,4,2
00122,12921,4,2
00122,12922,4,2
00122,12923,4,2
00122,12932,4,2
00122,12958,4,2
00122,12959,4,2
00122,12960,4,2
00122,13031,4,2
00122,13036,4,2
00122,13039,4,2
00122,13040,4,2
00122,13157,4,2
00122,13195,4,2
00122,13196,4,2
00122,13267,4,2
00122,13270,4,2
00122,13271,4,2
00122,13272,4,2
00122,13344,4,2
00122,13345,4,2
00122,13346,4,2
00122,13347,4,2
00122,13358,4,2
00122,13359,4,2
00122,13361,4,2
00122,13365,4,2
00122,13410,4,2
00122,13591,4,2
00122,13592,4,2
00122,20139,4,2
00123,04400,4,2
00123,10928,4,2
00124,04400,4,2
00124,10928,4,2
00125,17143,2,2
00126,04400,4,2
00126,09164,4,2
00126,10928,4,2
00127,04400,4,2
00127,10928,4,2
00128,04400,4,2
00128,10928,4,2
00129,14400,2,2
00130,14632,2,2
00130,14711,2,2
00130,14723,2,2
00130,14923,2,2
00131,04400,4,2
00131,10928,4,2
00132,04400,4,2
00132,09164,4,2
00132,10928,4,2
00133,04400,4,2
00133,10928,4,2
00134,04400,4,2
00134,09164,4,2
00134,10928,4,2
00135,09164,4,2
00136,04400,4,2
00136,09164,4,2
00136,10928,4,2
00137,04400,4,2
00137,10928,4,2
00138,04400,4,2
00138,09164,4,2
00138,10928,4,2
00139,04400,4,2
00139,10928,4,2
00140,04400,4,2
00140,10928,4,2
00141,04400,4,2
00141,10928,4,2
00142,17140,2,2
00143,14626,2,2
00143,14711,2,2
00143,14921,2,2
00144,04400,4,2
00144,10928,4,2
00145,04400,4,2
00145,09164,4,2
00145,10928,4,2
00146,14755,2,2
00147,15830,2,2
00147,16669,2,2
00147,17194,7,2
00147,17318,7,2
00147,17462,7,2
00147,17538,7,2
00147,17587,7,2
00147,17621,7,2
00147,17950,4,2
00147,19730,4,2
00147,19766,4,2
00147,19767,4,2
00147,21321,4,2
00147,21358,4,2
00147,22273,6,2
00147,22303,6,2
00147,22307,6,2
00147,22312,6,2
00147,22568,6,2
00148,14588,2,2
00149,12042,4,2
00149,12057,4,2
00149,13747,4,2
00149,13751,4,2
00149,13766,4,2
00149,14063,4,2
00149,14662,2,2
00149,14705,2,2
00149,15942,2,2
00149,16311,2,2
00150,01799,4,2
00150,04255,4,2
00150,04270,4,2
00150,04522,4,2
00150,04529,4,2
00150,09828,4,2
00150,10223,4,2
00150,10334,4,2
00150,10386,4,2
00150,11137,4,2
00150,11147,4,2
00150,11630,4,2
00150,12268,4,2
00150,13705,4,2
00150,14607,2,2
00150,14768,2,2
00150,16224,2,2
00150,16310,2,2
00150,16968,2,2
00150,17204,7,2
00150,17896,4,2
00150,18367,4,2
00150,18369,4,2
00150,18370,4,2
00150,18533,4,2
00150,18538,4,2
00150,18541,4,2
00150,18562,4,2
00150,18688,4,2
00150,20327,6,2
00150,20378,6,2
00150,20432,6,2
00150,20455,6,2
00150,20464,6,2
00150,20466,6,2
00150,20499,6,2
00150,20502,6,2
00150,20506,6,2
00150,20513,6,2
00150,20548,6,2
00150,20586,6,2
00150,20601,7,2
00150,20602,7,2
00150,20605,7,2
00150,20607,7,2
00150,20691,6,2
00150,20714,6,2
00150,21504,4,2
00150,22294,6,2
00150,22297,6,2
00150,22330,6,2
00150,22340,6,2
00150,22342,6,2
00150,22353,6,2
00150,22674,6,2
00150,22679,6,2
00150,22681,6,2
00150,22683,6,2
00150,22689,6,2
00150,22690,6,2
00151,00626,4,2
00151,01039,4,2
00151,01339,4,2
00151,01620,4,2
00151,01621,4,2
00151,03864,4,2
00151,03922,4,2
00151,04255,4,2
00151,10052,4,2
00151,10215,4,2
00151,10333,4,2
00151,10387,4,2
00151,11069,4,2
00151,11082,4,2
00151,11086,4,2
00151,11101,4,2
00151,11126,4,2
00151,11137,4,2
00151,11147,4,2
00151,11598,4,2
00151,11606,4,2
00151,11632,4,2
00151,12041,4,2
00151,12258,4,2
00151,12333,4,2
00151,12534,4,2
00151,12883,4,2
00151,13095,4,2
00151,13096,4,2
00151,13558,4,2
00151,13594,4,2
00151,14607,2,2
00151,14622,2,2
00151,14661,2,2
00151,14831,2,2
00151,16249,2,2
00151,16974,2,2
00152,20348,6,2
00152,22312,6,2
00153,20248,6,2
00154,20437,6,2
00155,09227,4,2
00155,12926,4,2
00156,11514,4,2
00157,20287,6,2
00157,21174,4,2
00158,20562,6,2
00159,04400,4,2
00159,10928,4,2
00160,04400,4,2
00160,10928,4,2
00161,04400,4,2
00161,10928,4,2
00162,04400,4,2
00162,10928,4,2
00163,04400,4,2
00163,10928,4,2
00164,20488,6,2
00165,04400,4,2
00165,10928,4,2
00166,04400,4,2
00166,10928,4,2
00167,09305,4,2
00167,10928,4,2
00167,10941,4,2
00167,11256,4,2
00168,09164,4,2
